Rgt,Lu,Lu/Hg,Ld,Ld/Hg,Shim_thickness,HF/Hg,H,V,Flow rate per unit width,mean_height,Avg./Pre.,max height,Hedge,Rstep,start_x,file name,SR_x,SR_multiple_Ld_x,SS_x,capillary_length,viscosity_label,PowerLawIndex,ZeroShearViscosity,Viscosity_x,Ca,rho,sigma,c_star,delP_channel,P_drop_channel,P_drop_channel_dimensionless,K_Weinstein,(2n+1)/3,mu0(U^n)/sigma,P_jump,sigma/Hg,P_jump_dimensionless,P_drop_total,kege,logkedge,muV/Hg,Re,Bstep_modified
0.542866233,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,0.7,125,0.202628186,1.134717843,,1.134150725,0.05521204,1.115,v8_V_0.7_q_125,106.0606061,0.084848485,7.272727273,2.38,standard,0.7,3.5,0.863777352,0.129197467,1.4,0.078,0.5,-793.4690589,793.4690589,8.661120462,1.619111214,0.8,1.989922646,179.9846749,709.0909091,0.253824542,613.4843841,0.0025,-2.602059991,91.61274945,0.003830879,5.910416667
0.355864992,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,0.5,125,0.309105988,1.23642395,,1.014742094,0.041799322,0.58,v4_V_0.5_q_125,75.75757576,0.060606061,7.272727273,2.38,standard,0.7,3.5,0.955520972,0.102085574,1.4,0.078,0.5,-618.5791107,618.5791107,8.545332338,1.619111214,0.8,1.572340386,109.7277301,709.0909091,0.154744235,508.8513806,,,72.38795242,,1.072916667
0.454232541,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,0.7,150,0.24216671,1.130111315,,1.131264449,0.058565105,0.89,v9_V_0.7_q_150,106.0606061,0.084848485,7.272727273,2.38,standard,0.7,3.5,0.863777352,0.129197467,1.4,0.078,0.5,-793.4690589,793.4690589,8.661120462,1.619111214,0.8,1.989922646,156.0644046,709.0909091,0.220090827,637.4046544,0.0025,-2.602059991,91.61274945,0.004578392,5.295833333
1.218540483,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,0.7,50,0.090271929,1.263807,,1.02335924,0.058239954,2.675,ev5_V_0.7_q_50,106.0606061,0.084848485,7.272727273,2.38,standard,0.7,3.5,0.863777352,0.129197467,1.4,0.078,0.5,-793.4690589,793.4690589,8.661120462,1.619111214,0.8,1.989922646,343.6791889,709.0909091,0.484675779,449.78987,,,91.61274945,,4.120833333
0.640437786,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1.5,225,0.171757511,1.145050072,,1.176007049,0.073400646,1.625,25_V_1.5_q_225,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,293.174589,709.0909091,0.413451343,1101.474599,0.010895914,-1.980381628,156.1892614,0.008744269,4.933333333
0.890353443,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,100,0.123546442,1.235464421,,1.06307349,0.069213693,2.165,ev13_V_1_q_100,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,315.8048535,709.0909091,0.445365819,717.3310316,,,117.5945758,,5.464583333
0.581305501,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,150,0.189229243,1.261528286,,1.047297547,0.018689308,1.335,ev15_V_1_q_150,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,224.5393147,709.0909091,0.316658008,808.5965704,,,117.5945758,,
0.316495127,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,275,0.347556694,1.263842523,,1.040641347,0.032166284,0.515,ev20_V_1_q_275,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,138.0582832,709.0909091,0.194697579,895.0776019,0.002500029,-2.602055038,117.5945758,0.010458935,4.577083333
0.624596337,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,0.5,75,0.176113745,1.174091631,,1.019660569,0.023831359,1.475,ev2_V_0.5_q_75,75.75757576,0.060606061,7.272727273,2.38,standard,0.7,3.5,0.955520972,0.102085574,1.4,0.078,0.5,-618.5791107,618.5791107,8.545332338,1.619111214,0.8,1.572340386,172.0947921,709.0909091,0.242697784,446.4843186,,,72.38795242,,4.9875
0.451206343,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,200,0.243790899,1.218954495,,1.062904172,0.023995167,0.995,ev17_V_1_q_200,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,183.3449715,709.0909091,0.258563421,849.7909136,0.009433057,-1.936113218,117.5945758,0.007336338,
