Rgt,Lu,Lu/Hg,Ld,Ld/Hg,Shim_thickness,HF/Hg,H,V,Flow rate per unit width,mean_height,Avg./Pre.,max height,Yield,Bstep,Bedge,Hedge,Rstep,start_x,file name,Bstep_modified,SR_x,SR_multiple_Ld_x,SS_x,capillary_length,viscosity_label,PowerLawIndex,ZeroShearViscosity,Viscosity_x,Ca,rho,sigma,c_star,delP_channel,P_drop_channel,P_drop_channel_dimensionless,K_Weinstein,(2n+1)/3,mu0(U^n)/sigma,P_jump,sigma/Hg,P_jump_dimensionless,P_drop_total,tau,k,logk,epsilon,Rgt_inv,Rgt_y,SR_y,SR_multiple_Ld_y,SS_y,Viscosity_y,muV/Hg,Ca_y,Re,B1_step_JS,B2_step_JS
0.679108171,0.8,7.272727273,0.8,7.272727273,0.29,2.636363636,0.11,2,325,0.161977141,0.996782405,,0.172236148,85.78370958,62.10752921,1.063336143,0.042236543,1.15,,5.789583343,303.030303,0.242424242,7.272727273,2.38,standard,0.7,3.5,0.630408741,0.269405445,1.4,0.078,0.5,-1725.518593,1725.518593,9.032570437,1.619111214,0.8,4.149431154,351.399125,709.0909091,0.495562869,1374.119468,,,-1.117250149,,,,,,,,191.0329518,,,,
0.665051695,0.8,7.272727273,0.8,7.272727273,0.29,2.636363636,0.11,1.5,250,0.165400676,0.992404059,,0.169226373,78.6877072,52.81115039,1.02312987,0.038645018,1.56,,5.422916652,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,302.1545171,709.0909091,0.426115345,1092.494671,,,-0.747166942,,,,,,,,156.1892614,,,,
1.015919805,0.8,7.272727273,0.8,7.272727273,0.29,2.636363636,0.11,1.5,150,0.108276263,1.082762625,,0.110579263,110.1811211,13.29931387,1.021269667,0.010321855,2.015,,4.970833352,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,424.0648818,709.0909091,0.598040218,970.5843063,,,,,,,,,,,156.1892614,,,,
0.948110139,0.8,7.272727273,0.8,7.272727273,0.29,2.636363636,0.11,2.5,275,0.116020276,1.054729781,,0.120572,104.1197317,81.45128022,1.039232144,0.044114173,2.245,,5.033333337,378.7878788,0.303030303,7.272727273,2.38,standard,0.7,3.5,0.589588797,0.31495128,1.4,0.078,0.5,-2035.321654,2035.321654,9.113553707,1.619111214,0.8,4.850936308,509.2853885,709.0909091,0.718222984,1526.036265,,,,,,,,,,,223.3290898,,,,
1.055818524,0.8,7.272727273,0.8,7.272727273,0.29,2.636363636,0.11,2,200,0.104184571,1.041845705,,0.10869609,112.6846321,82.92974629,1.043303142,0.033607926,2.6,,4.891666689,303.030303,0.242424242,7.272727273,2.38,standard,0.7,3.5,0.630408741,0.269405445,1.4,0.078,0.5,-1725.518593,1725.518593,9.032570437,1.619111214,0.8,4.149431154,500.173793,709.0909091,0.705373298,1225.3448,,,,,,,,,,,191.0329518,,,,
1.063029123,0.8,7.272727273,0.8,7.272727273,0.29,2.636363636,0.11,1,100,0.10347788,1.034778803,,0.107285812,109.3470408,19.66603871,1.036799475,0.011150634,2.62,,4.714583319,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,363.9192061,709.0909091,0.513219393,669.216679,,,-0.510723983,,,,,,,,117.5945758,,,,
0.696487276,0.8,7.272727273,0.8,7.272727273,0.29,2.636363636,0.11,2,300,0.157935405,1.0529027,,0.163942149,84.08500933,58.85317483,1.038032915,0.039632473,1.795,,5.533333335,303.030303,0.242424242,7.272727273,2.38,standard,0.7,3.5,0.630408741,0.269405445,1.4,0.078,0.5,-1725.518593,1725.518593,9.032570437,1.619111214,0.8,4.149431154,358.5750439,709.0909091,0.505682754,1366.94355,,,-1.117250149,,,,,,,,191.0329518,,,,
1.043475199,0.8,7.272727273,0.8,7.272727273,0.29,2.636363636,0.11,2.5,250,0.105416976,1.054169762,,0.110446548,111.6044154,96.52145572,1.047711209,0.066299985,2.565,,4.902083325,378.7878788,0.303030303,7.272727273,2.38,standard,0.7,3.5,0.589588797,0.31495128,1.4,0.078,0.5,-2035.321654,2035.321654,9.113553707,1.619111214,0.8,4.850936308,549.8698262,709.0909091,0.775457447,1485.451827,,,,,,,,,,,223.3290898,,,,
1.665294615,0.8,7.272727273,0.8,7.272727273,0.29,2.636363636,0.11,0.5,25,0.066054378,1.321087556,,0.070783852,189.3137203,90.75855684,1.071599707,0.010146602,2.1,,5.210416684,75.75757576,0.060606061,7.272727273,2.38,standard,0.7,3.5,0.955520972,0.102085574,1.4,0.078,0.59684801,-565.3674001,565.3674001,7.810241638,1.619111214,0.8,1.572340386,377.121284,709.0909091,0.531837708,188.2461161,,,,,,,,,,,72.38795242,,,,
1.362100213,0.8,7.272727273,0.8,7.272727273,0.29,2.636363636,0.11,1.5,100,0.080757641,1.211364612,,0.086213301,135.281317,89.46521878,1.067555963,0.021826389,1.995,,4.552083347,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,536.1817352,709.0909091,0.756153729,858.4674529,,,,,,,,,,,156.1892614,,,,
0.767219351,0.8,7.272727273,0.8,7.272727273,0.29,2.636363636,0.11,1.5,200,0.143374903,1.075311774,,0.146118968,73.47868953,46.55626508,1.019139085,0.037143757,1.93,,4.389583327,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,338.7508594,709.0909091,0.477725571,1055.898329,,,-0.617721061,,,,,,,,156.1892614,,,,
1.252646172,2,18.18181818,0.8,7.272727273,0.29,2.636363636,0.11,0.7,50,0.087814103,1.229397444,,0.09573627,149.5204019,132.1541709,1.090215198,0.057583018,1.885,,5.470833322,106.0606061,0.084848485,7.272727273,2.38,standard,0.7,3.5,0.863777352,0.129197467,1.4,0.078,0.5,-793.4690589,793.4690589,8.661120462,1.619111214,0.8,1.989922646,351.3532681,709.0909091,0.495498199,442.1157908,,,,,,,,,,,91.61274945,,,0.735416667,0.735416667
0.871987274,2,18.18181818,0.8,7.272727273,0.29,2.636363636,0.11,2,175,0.12614863,1.441698627,,0.131063766,109.1569525,47.24585599,1.038963058,0.016152193,1.335,,5.737500005,303.030303,0.242424242,7.272727273,2.38,standard,0.7,3.5,0.630408741,0.269405445,1.4,0.078,0.5,-1725.518593,1725.518593,9.032570437,1.619111214,0.8,4.149431154,429.1979395,709.0909091,0.605279145,1296.320654,,,,,,,,,,,191.0329518,,,5.135416667,3.172916667
0.845163704,2,18.18181818,0.8,7.272727273,0.29,2.636363636,0.11,1,100,0.1301523,1.301523,,0.1378196,107.7199558,46.06142189,1.058910215,0.016218355,1.08,,5.841666668,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,302.9155141,709.0909091,0.427188546,730.220371,,,,,,,,,,,117.5945758,,,3.5375,3.5375
0.704005145,2,18.18181818,0.8,7.272727273,0.29,2.636363636,0.11,0.7,100,0.156248858,1.093742008,,0.173682583,91.48866848,45.15232991,1.111576655,0.021581334,0.78,,5.956249987,106.0606061,0.084848485,7.272727273,2.38,standard,0.7,3.5,0.863777352,0.129197467,1.4,0.078,0.5,-793.4690589,793.4690589,8.661120462,1.619111214,0.8,1.989922646,221.585803,709.0909091,0.312492799,571.883256,,,,,,,,,,,91.61274945,,,5.441666667,5.441666667
1.548035652,2,18.18181818,0.8,7.272727273,0.29,2.636363636,0.11,1,50,0.071057795,1.421155904,,0.074639036,168.4544246,71.77256186,1.050398988,0.010343202,2.215,,4.987499988,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.234920703,-1388.107197,1388.107197,11.80417709,1.619111214,0.8,2.554274492,491.5793297,709.0909091,0.693252901,896.5278677,,,,,,,,,,,117.5945758,,,4.122916667,3.066666667
0.631912814,2,18.18181818,0.8,7.272727273,0.29,2.636363636,0.11,1,150,0.174074647,1.160497644,,0.183333103,82.4071758,13.93080525,1.053186705,0.014603578,0.785,,5.977083349,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,240.0460566,709.0909091,0.33852649,793.0898285,,,,,,,,,,,117.5945758,,,,
1.197312873,2,18.18181818,0.8,7.272727273,0.29,2.636363636,0.11,1.5,100,0.091872394,1.378085909,,0.096182788,143.0788884,57.90640444,1.046917183,0.011740881,1.835,,5.477083337,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,483.6273897,709.0909091,0.682038627,911.0217985,,,,,,,,,,,156.1892614,,,,
0.890011051,2,18.18181818,0.8,7.272727273,0.29,2.636363636,0.11,0.5,50,0.123593971,1.235939706,,0.136708529,108.5004385,32.24267317,1.106110021,0.013113419,1.51,,5.587500021,75.75757576,0.060606061,7.272727273,2.38,standard,0.7,3.5,0.955520972,0.102085574,1.4,0.078,0.5,-618.5791107,618.5791107,8.545332338,1.619111214,0.8,1.572340386,228.4570165,709.0909091,0.322182972,390.1220942,,,,,,,,,,,72.38795242,,,5.01875,3.075
0.401978303,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,225,0.27364661,1.216207158,,0.288195233,51.78211408,12.95466439,1.053165731,0.025754975,0.805,ev18_V_1_q_225,5.904166657,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,167.1594511,709.0909091,0.235737687,865.9764339,9.29087483,0.011584753,-2.602055038,0.660566923,2.147727273,0.465608466,152,0.121,7.27,0.775380666,117.5945758,0.16567963,0.008234778,,
0.990520226,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1.5,150,0.111052755,1.110527551,,0.135897551,117.3766467,107.3813971,1.223720662,0.100047527,2.1,22_V_1.5_q_150,5.431249995,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,415.5616344,709.0909091,0.586048459,979.0875537,9.121197146,0.012019774,-1.920103685,0.44964286,0.954545455,1.047619048,227,0.182,7.27,0.687480347,156.1892614,0.220346265,0.005653756,5.027083333,5.027083333
0.542866233,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,0.7,125,0.202628186,1.134717843,,0.229810904,65.95824723,47.84625566,1.134150725,0.05521204,1.115,v8_V_0.7_q_125,5.568749995,106.0606061,0.084848485,7.272727273,2.38,standard,0.7,3.5,0.863777352,0.129197467,1.4,0.078,0.5,-793.4690589,793.4690589,8.661120462,1.619111214,0.8,1.989922646,179.9846749,709.0909091,0.253824542,613.4843841,20,0.0025,-2.602059991,0.976694657,1.704545455,0.586666667,106,0.085,7.27,0.863925484,91.61274945,0.129219624,0.003830879,5.910416667,5.910416667
0.355864992,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,0.5,125,0.309105988,1.23642395,,0.313662857,42.2832314,18.35939848,1.014742094,0.041799322,0.58,v4_V_0.5_q_125,5.445833341,75.75757576,0.060606061,7.272727273,2.38,standard,0.7,3.5,0.955520972,0.102085574,1.4,0.078,0.5,-618.5791107,618.5791107,8.545332338,1.619111214,0.8,1.572340386,109.7277301,709.0909091,0.154744235,508.8513806,,,,,,,,,,,72.38795242,,,1.072916667,1.072916667
0.454232541,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,0.7,150,0.24216671,1.130111315,,0.27395459,56.11836564,39.04335152,1.131264449,0.058565105,0.89,v9_V_0.7_q_150,5.662499991,106.0606061,0.084848485,7.272727273,2.38,standard,0.7,3.5,0.863777352,0.129197467,1.4,0.078,0.5,-793.4690589,793.4690589,8.661120462,1.619111214,0.8,1.989922646,156.0644046,709.0909091,0.220090827,637.4046544,20,0.0025,-2.602059991,0.870369192,2.045454545,0.488888889,106,0.085,7.27,0.863925484,91.61274945,0.129219624,0.004578392,5.295833333,5.295833333
1.218540483,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,0.7,50,0.090271929,1.263807,,0.092380612,127.0605401,109.8901968,1.02335924,0.058239954,2.675,ev5_V_0.7_q_50,4.779166689,106.0606061,0.084848485,7.272727273,2.38,standard,0.7,3.5,0.863777352,0.129197467,1.4,0.078,0.5,-793.4690589,793.4690589,8.661120462,1.619111214,0.8,1.989922646,343.6791889,709.0909091,0.484675779,449.78987,,,,,,,,,,,91.61274945,,,4.120833333,4.120833333
0.640437786,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1.5,225,0.171757511,1.145050072,,0.201988043,78.1334099,64.50955154,1.176007049,0.073400646,1.625,25_V_1.5_q_225,5.591666671,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,293.174589,709.0909091,0.413451343,1101.474599,9.580058632,0.010895914,-1.980381628,0.458851419,1.431818182,0.698412698,227,0.182,7.27,0.687480347,156.1892614,0.220346265,0.008744269,4.933333333,4.933333333
0.890353443,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,100,0.123546442,1.235464421,,0.131338947,94.21558243,79.7675743,1.06307349,0.069213693,2.165,ev13_V_1_q_100,4.849999996,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,315.8048535,709.0909091,0.445365819,717.3310316,,,,,,,,,,,117.5945758,,,5.510416667,5.464583333
0.581305501,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,150,0.189229243,1.261528286,,0.198179322,71.3948848,17.88835567,1.047297547,0.018689308,1.335,ev15_V_1_q_150,5.629166669,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,224.5393147,709.0909091,0.316658008,808.5965704,,,,,,,,,,,117.5945758,,,,
0.316495127,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,275,0.347556694,1.263842523,,0.361681866,41.53279237,10.4443392,1.040641347,0.032166284,0.515,ev20_V_1_q_275,6.014583337,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,138.0582832,709.0909091,0.194697579,895.0776019,19.99988595,0.002500029,-2.602055038,0.739975314,2.625,0.380952381,152,0.121,7.27,0.775380666,117.5945758,0.16567963,0.010458935,4.577083333,4.577083333
