Rgt,﻿Rgt_x,Lu,Ld,Shim_thickness,HF/Hg,H,V,Flow rate per unit width,mean_height,Avg./Pre.,max height,Yield,Bstep,Bedge,Hedge,Rstep,start_x,file name,Bstep_modified,SR_x,SR_multiple_Ld_x,SS_x,capillary_length,viscosity_label,PowerLawIndex,ZeroShearViscosity,Viscosity_x,Ca,rho,sigma,c_star,delP_channel,P_drop_channel,P_drop_channel_dimensionless,K_Weinstein,(2n+1)/3,mu0(U^n)/sigma,P_jump,sigma/Hg,P_jump_dimensionless,P_drop_total,tau,k,logk,epsilon,Rgt_inv,Rgt_y,SR_y,SR_multiple_Ld_y,SS_y,Viscosity_y,muV/Hg,Ca_y,Re,B1_step_JS,B2_step_JS
1.069733353,1.069733354,4,2,0.29,0.805555556,0.36,1,300,0.336532463,1.121774876,0.347830448,0.2212,32.86458582,20.90437262,1.033571754,0.08361055,1.92,ev19_V_1_q_300,4.570247934,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,-0.316004536,-584.2899143,584.2899143,22.15508957,1.619111214,0.8,1.366171957,89.75389075,208.3333333,0.430818676,494.5360236,9.045041254,0.012223031,-1.912821104,1.18623508,0.875,1.142857143,46.3,0.093,5.56,0.569650694,26.37271731,0.126589043,0.012898475,4.3375,4.133333333
1.575510213,1.57551021,4,2,0.29,0.805555556,0.36,0.7,150,0.228497408,1.066321239,0.256574789,0.2011,44.00487545,33.06383233,1.122878331,0.091398963,2.765,v7_V_0.7_q_150,4.154958678,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,0.344984962,-131.749976,131.749976,6.412494972,1.619111214,0.8,1.064324341,103.5815133,208.3333333,0.497191264,28.16846279,5.932391472,0.028414525,-1.546459604,1.116510904,0.612799206,1.631855899,32.4,0.065,5.56,0.633985344,20.54582133,0.098619942,0.005508332,3.93125,3.635416667
1.892579849,1.892579844,4,2,0.29,0.805555556,0.36,0.7,125,0.190216545,1.065212655,0.22777803,0.2398,63.03342315,52.99223564,1.19746697,0.099589814,3.26,v6_V_0.7_q_125,4.954545455,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,3.687312145,-27.23161475,27.23161475,1.325408914,1.619111214,0.8,1.064324341,119.9467935,208.3333333,0.575744609,-92.71517873,4.949543921,0.040819684,-1.389130365,0.86345843,0.520833333,1.92,32.4,0.065,5.56,0.633985344,20.54582133,0.098619942,0.004585505,3.914583333,3.39375
1.543660614,1.543660616,4,2,0.29,0.805555556,0.36,1.5,325,0.233211884,1.07636254,0.272703023,0.2214,47.46756393,38.99887028,1.16933588,0.118081966,2.93,25_V_1.5_q_325,4.574380165,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,0.262111307,-247.6199293,247.6199293,7.069144096,1.619111214,0.8,1.814551287,145.4287376,208.3333333,0.69805794,102.1911918,3.738897895,0.071534046,-1.14548721,0.588199346,0.631944444,1.582417582,69.4,0.139,5.56,0.504407172,35.02827583,0.168135724,0.015141912,4.027083333,2.864583333
1.456734859,1.456734862,4,2,0.29,0.805555556,0.36,1,225,0.247128019,1.098346749,0.275044074,0.2028,41.03136529,30.93538339,1.11296192,0.099049306,2.615,ev16_V_1_q_225,4.190082645,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,0.079255626,-239.8018262,239.8018262,9.092799325,1.619111214,0.8,1.366171957,114.9045602,208.3333333,0.551541889,124.897266,5.484226232,0.033248287,-1.478230723,0.864168078,0.65625,1.523809524,46.3,0.093,5.56,0.569650694,26.37271731,0.126589043,0.009471819,4.191666667,3.491666667
1.009844364,1.009844364,4,2,0.29,0.805555556,0.36,1.5,475,0.356490577,1.125759717,0.361875769,0.224,31.41738022,20.07065674,1.015106128,0.088131169,2.075,31_V_1.5_q_475,4.628099174,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,-0.332507326,-830.193155,830.193155,23.70065712,1.619111214,0.8,1.814551287,103.5648385,208.3333333,0.497111225,726.6283165,9.528742952,0.011013587,-1.958071223,1.340681964,0.923611111,1.082706767,69.4,0.139,5.56,0.504407172,35.02827583,0.168135724,0.023146115,2.679166667,2.233333333
1.31968172,1.319681721,4,2,0.29,0.805555556,0.36,0.5,125,0.272793049,1.091172195,0.302868293,0.2371,43.45785222,31.87397934,1.110249305,0.086326914,2.46,v2_V_0.5_q_125,4.898760331,23.1,0.046,5.56,2.42,low,0.7,1.8,0.701760487,0.077973387,1.31,0.075,-0.139708722,-218.630588,218.630588,13.46719165,1.619111214,0.8,0.840977486,76.82941928,208.3333333,0.368781213,141.8011688,7.637174444,0.017144885,-1.765865421,1.034751063,0.728885894,1.371956857,23.1,0.046,5.56,0.701322269,16.23431178,0.077924697,0.004246252,4.370833333,4.272916667
0.92330416,0.92330416,4,2,0.29,0.805555556,0.36,0.5,175,0.389904016,1.114011475,0.4107,0.2575,33.02094738,20.49222288,1.053336162,0.079816585,1.7,v4_V_0.5_q_175,5.320247934,23.1,0.046,5.56,2.42,low,0.7,1.8,0.701760487,0.077973387,1.31,0.075,-0.369687645,-460.1232089,460.1232089,28.34263719,1.619111214,0.8,0.840977486,57.73351822,208.3333333,0.277120887,402.3896907,7.057783398,0.02007536,-1.697336652,0.625904985,1.020833333,0.979591837,23.1,0.046,5.56,0.701322269,16.23431178,0.077924697,0.006069182,2.645833333,2.264583333
1.413989221,1.41398922,4,2,0.29,0.805555556,0.36,1.5,350,0.254598829,1.09113784,0.286727073,0.1996,39.19892338,30.49896192,1.12619164,0.114943038,2.775,26_V_1.5_q_350,4.123966942,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,0.003823911,-359.8110246,359.8110246,10.27201642,1.619111214,0.8,1.814551287,135.5706426,208.3333333,0.650739084,224.240382,4.456496521,0.050351551,-1.297987144,0.756668491,0.680555556,1.469387755,69.4,0.139,5.56,0.504407172,35.02827583,0.168135724,0.016530518,2.960416667,2.960416667
1.135520462,1.135520462,4,2,0.29,0.805555556,0.36,1.5,425,0.317035238,1.118947899,0.325057857,0.2189,34.52297627,23.95632752,1.025305134,0.094637385,2.33,29_V_1.5_q_425,4.522727273,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,-0.287911394,-700.3515617,700.3515617,19.99389194,1.619111214,0.8,1.814551287,113.7534945,208.3333333,0.546016774,586.5980672,3.697691639,0.073137248,-1.135861383,0.700991217,0.826388889,1.210084034,69.4,0.139,5.56,0.504407172,35.02827583,0.168135724,0.02058437,3.283333333,3.283333333
