Rgt,Lu,Ld,Shim_thickness,HF/Hg,H,V,Flow rate per unit width,mean_height,Avg./Pre.,max height,Hedge,Rstep,start_x,file name,SR_x,SR_multiple_Ld_x,SS_x,capillary_length,viscosity_label,PowerLawIndex,ZeroShearViscosity,Viscosity,Ca,rho,sigma,c_star,delP_channel,P_drop_channel,P_drop_channel_dimensionless,K_Weinstein,(2n+1)/3,mu0(U^n)/sigma,P_jump,sigma/Hg,P_jump_dimensionless,P_drop_total,kedge,logkedge,Re,Bstep_modified
1.069733353,4,2,0.29,0.805555556,0.36,1,300,0.336532463,1.121774876,0.347830448,1.033571754,0.08361055,1.92,ev19_V_1_q_300,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,-0.316004536,-584.2899143,584.2899143,22.15508957,1.619111214,0.8,1.366171957,89.75389075,208.3333333,0.430818676,494.5360236,0.012223031,-1.912821104,0.012898475,4.133333333
1.575510213,4,2,0.29,0.805555556,0.36,0.7,150,0.228497408,1.066321239,0.256574789,1.122878331,0.091398963,2.765,v7_V_0.7_q_150,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,0.344984962,-131.749976,131.749976,6.412494972,1.619111214,0.8,1.064324341,103.5815133,208.3333333,0.497191264,28.16846279,0.028414525,-1.546459604,0.005508332,3.635416667
1.892579849,4,2,0.29,0.805555556,0.36,0.7,125,0.190216545,1.065212655,0.22777803,1.19746697,0.099589814,3.26,v6_V_0.7_q_125,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,3.687312145,-27.23161475,27.23161475,1.325408914,1.619111214,0.8,1.064324341,119.9467935,208.3333333,0.575744609,-92.71517873,0.040819684,-1.389130365,0.004585505,3.39375
1.543660614,4,2,0.29,0.805555556,0.36,1.5,325,0.233211884,1.07636254,0.272703023,1.16933588,0.118081966,2.93,25_V_1.5_q_325,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,0.262111307,-247.6199293,247.6199293,7.069144096,1.619111214,0.8,1.814551287,145.4287376,208.3333333,0.69805794,102.1911918,0.071534046,-1.14548721,0.015141912,2.864583333
1.456734859,4,2,0.29,0.805555556,0.36,1,225,0.247128019,1.098346749,0.275044074,1.11296192,0.099049306,2.615,ev16_V_1_q_225,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,0.079255626,-239.8018262,239.8018262,9.092799325,1.619111214,0.8,1.366171957,114.9045602,208.3333333,0.551541889,124.897266,0.033248287,-1.478230723,0.009471819,3.491666667
1.009844364,4,2,0.29,0.805555556,0.36,1.5,475,0.356490577,1.125759717,0.361875769,1.015106128,0.088131169,2.075,31_V_1.5_q_475,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,-0.332507326,-830.193155,830.193155,23.70065712,1.619111214,0.8,1.814551287,103.5648385,208.3333333,0.497111225,726.6283165,0.011013587,-1.958071223,0.023146115,2.233333333
1.31968172,4,2,0.29,0.805555556,0.36,0.5,125,0.272793049,1.091172195,0.302868293,1.110249305,0.086326914,2.46,v2_V_0.5_q_125,23.1,0.046,5.56,2.42,low,0.7,1.8,0.701760487,0.077973387,1.31,0.075,-0.139708722,-218.630588,218.630588,13.46719165,1.619111214,0.8,0.840977486,76.82941928,208.3333333,0.368781213,141.8011688,0.017144885,-1.765865421,0.004246252,4.272916667
0.92330416,4,2,0.29,0.805555556,0.36,0.5,175,0.389904016,1.114011475,0.4107,1.053336162,0.079816585,1.7,v4_V_0.5_q_175,23.1,0.046,5.56,2.42,low,0.7,1.8,0.701760487,0.077973387,1.31,0.075,-0.369687645,-460.1232089,460.1232089,28.34263719,1.619111214,0.8,0.840977486,57.73351822,208.3333333,0.277120887,402.3896907,0.02007536,-1.697336652,0.006069182,2.264583333
1.413989221,4,2,0.29,0.805555556,0.36,1.5,350,0.254598829,1.09113784,0.286727073,1.12619164,0.114943038,2.775,26_V_1.5_q_350,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,0.003823911,-359.8110246,359.8110246,10.27201642,1.619111214,0.8,1.814551287,135.5706426,208.3333333,0.650739084,224.240382,0.050351551,-1.297987144,0.016530518,2.960416667
1.135520462,4,2,0.29,0.805555556,0.36,1.5,425,0.317035238,1.118947899,0.325057857,1.025305134,0.094637385,2.33,29_V_1.5_q_425,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,-0.287911394,-700.3515617,700.3515617,19.99389194,1.619111214,0.8,1.814551287,113.7534945,208.3333333,0.546016774,586.5980672,0.073137248,-1.135861383,0.02058437,3.283333333
1.457587915,4,2,0.29,0.805555556,0.36,2,450,0.246983387,1.097703943,0.278215161,1.126452935,0.122269004,2.82,ev36_V_2_q_450,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,0.080826772,-388.618682,388.618682,9.070846092,1.619111214,0.8,2.219352892,158.8624757,208.3333333,0.762539883,229.7562063,0.071301063,-1.146903997,0.023308705,2.504166667
1.004008199,4,2,0.29,0.805555556,0.36,1,325,0.358562809,1.10327018,0.366649574,1.022553276,0.080575912,1.75,ev20_V_1_q_325,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,-0.333505296,-627.7306843,627.7306843,23.80227554,1.619111214,0.8,1.366171957,85.31446308,208.3333333,0.409509423,542.4162212,0.011528057,-1.938243874,0.013742845,4.014583333
1.653697171,4,2,0.29,0.805555556,0.36,1,200,0.217694029,1.088470143,0.251099143,1.153449842,0.103172525,2.9,ev15_V_1_q_200,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,0.607878081,-130.3398967,130.3398967,4.942224768,1.619111214,0.8,1.366171957,127.173798,208.3333333,0.61043423,3.166098762,0.03627264,-1.440420835,0.008343686,3.20625
1.381630478,4,2,0.29,0.805555556,0.36,2,475,0.26056171,1.097101935,0.287325161,1.102714446,0.118437141,2.71,ev37_V_2_q_475,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,-0.050966789,-484.4189008,484.4189008,11.30694302,1.619111214,0.8,2.219352892,152.2043424,208.3333333,0.730580844,332.2145584,0.132196673,-0.878779474,0.02459014,2.68125
1.163427313,4,2,0.29,0.805555556,0.36,1,275,0.30943059,1.125202145,0.32204,1.040750368,0.086192365,2.1,ev18_V_1_q_275,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,-0.272384956,-500.8730459,500.8730459,18.99209095,1.619111214,0.8,1.366171957,95.98961699,208.3333333,0.460750162,404.8834289,0.009817843,-2.007983931,0.011859726,3.941666667
1.339876317,4,2,0.29,0.805555556,0.36,0.7,175,0.268681516,1.074726065,0.287697258,1.070774284,0.085160544,2.41,v8_V_0.7_q_175,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,-0.113635504,-262.0200717,262.0200717,12.75296166,1.619111214,0.8,1.064324341,90.99070747,208.3333333,0.436755396,171.0293642,0.031964464,-1.495332578,0.006477041,3.977083333
1.53525781,4,2,0.29,0.805555556,0.36,2,425,0.234488304,1.103474373,0.270072174,1.151751149,0.127093932,2.935,ev35_V_2_q_425,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,0.241951727,-310.5627247,310.5627247,7.248922422,1.619111214,0.8,2.219352892,165.5993285,208.3333333,0.794876777,144.9633962,0.048052632,-1.318282822,0.0221295,2.427083333
1.851569878,4,2,0.29,0.805555556,0.36,1.5,500,0.194429605,0.583288816,0.243314211,1.251425729,0.136441828,3.42,32_V_1.5_q_500,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,2.45936798,-65.62388138,65.62388138,,1.619111214,0.8,1.814551287,168.205759,208.3333333,0.807387643,-102.5818776,,,,2.3125
1.705651867,4,2,0.29,0.805555556,0.36,2,375,0.211063,1.125669333,0.254618421,1.206362181,0.133584177,3.245,ev33_V_2_q_375,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,0.856066737,-173.8232291,173.8232291,4.057251572,1.619111214,0.8,2.219352892,180.1465023,208.3333333,0.864703211,-6.323273241,0.033950434,-1.46915467,0.01991877,2.34375
1.173604554,4,2,0.29,0.805555556,0.36,0.7,200,0.306747276,1.073615466,0.319331379,1.041024336,0.077461433,2.065,v9_V_0.7_q_200,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,-0.266296649,-382.7572736,382.7572736,18.62944622,1.619111214,0.8,1.064324341,81.83944999,208.3333333,0.39282936,300.9178236,0.005105138,-2.291992484,0.007394683,
1.321117542,4,2,0.29,0.805555556,0.36,1,250,0.272496571,1.089986286,0.297806735,1.092882502,0.09611872,2.365,ev17_V_1_q_250,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,-0.13794461,-353.8249487,353.8249487,13.41632508,1.619111214,0.8,1.366171957,106.2639663,208.3333333,0.510067038,247.5609824,0.031214919,-1.505637784,0.010444135,3.3625
0.867019631,4,2,0.29,0.805555556,0.36,1,375,0.415215512,1.107241364,0.42016,1.011908246,0.076116501,1.465,ev22_V_1_q_375,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,-0.384711545,-815.2532524,815.2532524,30.91275134,1.619111214,0.8,1.366171957,75.86753946,208.3333333,0.364164189,739.385713,0.011624787,-1.934614991,0.015914206,4.722916667
1.605843407,4,2,0.29,0.805555556,0.36,2,400,0.224181261,1.120906304,0.26227913,1.169942258,0.12773861,3.025,ev34_V_2_q_400,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,0.435283217,-249.3464438,249.3464438,5.820057861,1.619111214,0.8,2.219352892,171.6627532,208.3333333,0.823981215,77.68369062,0.033717675,-1.472142376,0.021156787,2.383333333
2.134325229,4,2,0.29,0.805555556,0.36,2,300,0.168671576,1.124477172,0.223883939,1.327336502,0.142942013,3.63,ev39_V_2_q_300,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,10,-22.66437413,22.66437413,0.529014839,1.619111214,0.8,2.219352892,215.5370813,208.3333333,1.03457799,-192.8727072,0.095179984,-1.021454373,0.01591814,
0.821235279,4,2,0.29,0.805555556,0.36,0.5,200,0.438364022,1.095910056,0.461155843,1.051992908,0.084300774,1.155,v5_V_0.5_q_200,23.1,0.046,5.56,2.42,low,0.7,1.8,0.701760487,0.077973387,1.31,0.075,-0.394176908,-533.1812414,533.1812414,,1.619111214,0.8,0.840977486,52.5685827,208.3333333,0.252329197,480.6126587,,,,2.697916667
1.075861511,4,2,0.29,0.805555556,0.36,1.5,450,0.334615558,1.115385192,0.343644615,1.026983377,0.093468033,2.19,30_V_1.5_q_450,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,-0.313332388,-768.0441991,768.0441991,21.92640605,1.619111214,0.8,1.814551287,108.9466479,208.3333333,0.52294391,659.0975512,0.078535085,-1.104936281,0.02172582,4.202083333
1.637765549,4,2,0.29,0.805555556,0.36,1.5,300,0.219811682,1.099058409,0.261672273,1.190438427,0.122117601,3.13,24_V_1.5_q_300,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,0.545591917,-183.1035691,183.1035691,5.227307504,1.619111214,0.8,1.814551287,152.479044,208.3333333,0.731899411,30.62452511,0.039069411,-1.408163141,0.014271868,2.70625
1.830717229,4,2,0.29,0.805555556,0.36,2,350,0.196644241,1.123681379,0.246657586,1.254334144,0.137034315,3.44,ev41_V_2_q_350,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,2.062506668,-92.63126239,92.63126239,2.16212952,1.619111214,0.8,2.219352892,190.6384657,208.3333333,0.915064635,-98.00720336,0.048499325,-1.314264308,0.01855802,3.852083333
